instnm,city,stabbr,zip,latitude,longitude,adm_rate,sat_mid_read,sat_mid_math,act_mid_cumulative,act_mid_english,act_mid_math,act_mid_writing,sat_avg,ug_enrol,nprice_pub_cat1,nprice_pub_cat2,nprice_pub_cat3,nprice_pub_cat4,nprice_pub_cat5,nprice_pvt_cat1,nprice_pvt_cat2,nprice_pvt_cat3,nprice_pvt_cat4,nprice_pvt_cat5,avg_cost_attendance,completion_rate,grad_debt_median,grad_debt_med_LY,grad_debt_med_MY,grad_debt_med_HY,female,married,avg_familyincome,median_householdincome,median_earn_aftr6yr,number_gradstudent,zipcode,own_sc_low,parent_sc_low,own_sc_high,parent_sc_high,merge1
University of Minnesota-Morris,Morris,MN,56267,45.589775,-95.899729,0.6465,565,580,25,24,24,8,1199,1243,3941,2230,6691,14448,18267,NULL,NULL,NULL,NULL,NULL,24636,0.5985,18768,9842,11329,13800,0.5892053973,PrivacySuppressed,70755.629685,63548.87,39760,NULL,56267,1.71322,1.21668,1.77249,1.21974,matched (3)
University of Minnesota-Rochester,Rochester,MN,55904,44.022339,-92.463471,0.7375,614,581,23,22,23,9,1152,614,7537,8469,11340,18096,23472,NULL,NULL,NULL,NULL,NULL,25495,0.5446,19500,14250,16332,17750,0.5593906672,0.0233320478,91158.575877,NULL,51092,NULL,55904,,1.22316,,1.20419,matched (3)
University of Minnesota-Twin Cities,Minneapolis,MN,55455-0213,44.972851,-93.235464,0.6964,650,700,28,28,28,9,1320,30907,7698,8609,12911,18938,25369,NULL,NULL,NULL,NULL,NULL,27654,0.8426,19500,14250,16332,17750,0.5593906672,0.0233320478,91158.575877,70741.62,51092,15956,55455,1.64729,1.38191,1.82602,1.4619,matched (3)
University of Mississippi,University,MS,38677-1848,34.365529,-89.537434,0.8802,565,555,26,27,24,NULL,1220,16083,7764,9489,15351,18184,19846,NULL,NULL,NULL,NULL,NULL,25562,0.6668,20335,16096,15000,15000,0.608056266,0.0602621483,76075.676471,53374.26,38763,4835,38677,1.43538,1.18208,1.70804,1.43656,matched (3)
University of Missouri-Columbia,Columbia,MO,65211,38.94531,-92.328843,0.8178,610,605,26,27,25,NULL,1247,22622,11005,11386,13715,19956,22791,NULL,NULL,NULL,NULL,NULL,26902,0.7298,21000,16000,17608,18500,0.5432424917,0.0180756396,96072.734566,66484.66,46683,7706,65211,1.7226,1.36101,1.87916,1.51177,matched (3)
University of Missouri-Kansas City,Kansas City,MO,64110,39.034179,-94.582141,0.6301,565,593,24,24,23,NULL,1184,7077,12724,13751,15768,18700,19932,NULL,NULL,NULL,NULL,NULL,22897,0.5375,18751,16913,14295,13000,0.6063576159,0.0852980132,57335.299338,63187.36,43346,5120,64110,1.52464,1.16906,1.76879,1.32732,matched (3)
University of Missouri-St Louis,Saint Louis,MO,63121-4400,38.710312,-90.311091,0.5759,600,573,24,24,23,NULL,1188,6387,9991,8324,11291,17257,16373,NULL,NULL,NULL,NULL,NULL,24481,0.5625,20500,19140,16500,15000,0.6098868374,0.0994639666,45677.811197,64068.51,41078,2901,63121,1.54814,1.11483,1.7313499,1.25386,matched (3)
University of Mobile,Mobile,AL,36613-2842,30.793247,-88.128934,0.6657,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1164,NULL,NULL,NULL,NULL,NULL,19653,20348,24535,26327,26549,36890,0.489,27000,22688,19500,18500,0.6732804233,0.1031746032,53850.791005,51833.34,33075,266,36613,1.4921499,1.35408,1.63763,1.38177,matched (3)
University of Montevallo,Montevallo,AL,35115-6000,33.10625,-86.865099,0.6052,550,553,23,24,21,NULL,1131,2186,16012,17425,19443,21297,21208,NULL,NULL,NULL,NULL,NULL,26018,0.5415,23823,15608,18500,15000,0.6827586207,0.039408867,57173.946798,59047.15,32169,372,35115,1.42378,1.15413,1.57365,1.24102,matched (3)
University of Mount Olive,Mount Olive,NC,28365-0919,35.208166,-78.069388,0.6191,505,500,19,18,19,NULL,1011,2154,NULL,NULL,NULL,NULL,NULL,14460,13370,16682,17457,20346,32055,0.4561,27000,20217,20000,18750,0.7031403337,0.3292443572,42440.831207,51727.18,38049,186,28365,,,,,master only (1)
University of Mount Union,Alliance,OH,44601-3929,40.905256,-81.111029,0.7741,530,528,22,22,21,NULL,1107,1934,NULL,NULL,NULL,NULL,NULL,19000,20013,22091,24781,26506,44497,0.6588,27000,14250,19500,23250,0.4532304725,PrivacySuppressed,81813.485053,61044.98,41583,220,44601,1.62542,1.23843,1.7391,1.26648,matched (3)
University of Nebraska Medical Center,Omaha,NE,68198-7815,41.256312,-95.973966,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,959,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,15000,15125,14885,13750,0.8668779715,0.1870047544,70219.561014,57605.1,60172,2731,68198,,,,,matched (3)
University of Nebraska at Kearney,Kearney,NE,68849-1212,40.701452,-99.098699,0.8841,505,525,23,22,22,NULL,1130,4302,14087,14018,16311,19463,20741,NULL,NULL,NULL,NULL,NULL,23319,0.5892,19250,12500,12000,14000,0.6186602871,0.0794258373,64868.380861,51335.53,39041,1840,68849,1.7006299,1.1293401,1.78548,1.19672,matched (3)
University of Nebraska at Omaha,Omaha,NE,68182-0225,41.258769,-96.008516,0.8229,NULL,NULL,22,22,21,7,1115,12535,10578,11294,13574,17624,18468,NULL,NULL,NULL,NULL,NULL,19797,0.4891,19500,12750,13111,13500,0.5608272506,0.0693430657,62342.515004,66043.01,41984,3124,68182,1.57086,1.2436399,1.78157,1.38193,matched (3)
University of Nebraska-Lincoln,Lincoln,NE,68588-0419,40.817598,-96.700508,0.7774,600,615,25,24,25,NULL,1220,20128,11672,13453,15394,19553,21462,NULL,NULL,NULL,NULL,NULL,24400,0.6597,21362,13349,14000,15750,0.5250610369,0.0175211834,85258.120494,60976.73,42952,4822,68588,1.72303,1.36095,1.84092,1.4464,matched (3)
University of Nevada-Las Vegas,Las Vegas,NV,89154,36.106047,-115.138462,0.8102,570,570,22,22,21,NULL,1124,25477,8991,9602,11929,15316,16207,NULL,NULL,NULL,NULL,NULL,18756,0.4435,19018,12500,11750,12000,0.5966262878,0.0692856334,47132.11774,70070.97,42832,5278,89154,1.46589,1.25499,1.6644599,1.37229,matched (3)
University of Nevada-Reno,Reno,NV,89557,39.543642,-119.815377,0.873,580,580,23,23,23,8,1154,16637,11795,12399,15106,17907,19631,NULL,NULL,NULL,NULL,NULL,23256,0.604,19500,13000,13261,14000,0.5637824897,0.0430916553,66812.415356,68050.29,44263,3877,89557,1.60677,1.3654799,1.70693,1.4746,matched (3)
University of New England,Biddeford,ME,04005-9599,43.458591,-70.38535,0.8726,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2300,NULL,NULL,NULL,NULL,NULL,30554,29941,32345,35083,39828,56844,0.6126,26000,23000,22250,21178,0.7390681004,0.017921147,93069.549104,64934.4,44713,3143,4005,,,,,master only (1)
University of New Hampshire at Manchester,Manchester,NH,03101-1113,42.987209,-71.468755,0.8528,570,533,NULL,NULL,NULL,NULL,1103,694,11955,11768,12787,20245,22444,NULL,NULL,NULL,NULL,NULL,25244,0.5823,26999,22657,23000,22180,0.5576019545,0.0127795527,101251.05243,77484.55,50047,13,3101,,,,,matched (3)
University of New Hampshire-Franklin Pierce School of Law,Concord,NH,03301-4197,43.207371,-71.545152,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,26999,22657,23000,22180,0.5576019545,0.0127795527,101251.05243,70610.06,50047,442,3301,,,,,master only (1)
University of New Hampshire-Main Campus,Durham,NH,03824-3547,43.135934,-70.932465,0.8481,595,590,27,27,26,NULL,1197,11663,17993,17650,20896,25820,30023,NULL,NULL,NULL,NULL,NULL,33940,0.7646,26999,22657,23000,22180,0.5576019545,0.0127795527,101251.05243,77484.55,50047,2561,3824,1.77739,1.4668,1.83859,1.5054899,matched (3)
University of New Haven,West Haven,CT,06516-1916,41.291314,-72.961472,0.911,575,560,25,25,23,NULL,1147,5078,NULL,NULL,NULL,NULL,NULL,30555,31290,35331,35790,37867,58438,0.6466,27000,20000,20000,19500,0.575202386,0.0204516404,88205.381764,77310.15,45887,1864,6516,1.6752599,1.50288,1.7995501,1.53458,matched (3)
University of New Mexico-Main Campus,Albuquerque,NM,87106,35.083868,-106.620155,0.9634,575,565,21,21,21,NULL,1101,15776,13105,14530,16644,18013,19351,NULL,NULL,NULL,NULL,NULL,19351,0.539,18500,14250,13000,12500,0.5832672931,0.0861541945,39491.334767,49538.77,32716,6102,87106,1.13017,1.09053,1.44203,1.26916,matched (3)
University of New Orleans,New Orleans,LA,70148,30.027704,-90.067142,0.8291,590,545,21,23,20,NULL,1088,5985,10937,10784,13180,15862,16209,NULL,NULL,NULL,NULL,NULL,20864,0.4149,17541,10300,11000,10250,0.5788849348,0.0490312376,44744.918545,51940.24,36166,1480,70148,1.31113,1.08482,1.48093,1.20313,matched (3)
University of North Alabama,Florence,AL,35632-0001,34.806738,-87.681361,0.8266,NULL,NULL,NULL,NULL,NULL,NULL,NULL,5411,10885,11480,15060,16922,15952,NULL,NULL,NULL,NULL,NULL,21502,0.4995,22250,14500,15190,15890,0.6013931889,0.0537925697,52721.785217,48189.09,35791,2140,35632,1.28521,1.0954601,1.49164,1.1947401,matched (3)
University of North Carolina School of the Arts,Winston Salem,NC,27127-2738,36.076183,-80.235672,0.3634,630,585,26,27,23,NULL,1224,916,5766,6948,13480,17047,20994,NULL,NULL,NULL,NULL,NULL,21755,0.7215,25000,22172,21000,20000,0.5207756233,PrivacySuppressed,85889.753463,68862.71,33020,150,27127,1.69936,1.51604,1.7503099,1.50911,matched (3)
University of North Carolina Wilmington,Wilmington,NC,28403-5963,34.225223,-77.875527,0.6797,625,610,25,24,24,7,1226,14326,11710,14643,19195,22872,23876,NULL,NULL,NULL,NULL,NULL,24837,0.7352,20000,16500,15500,15464,0.6308737498,0.1058690319,69691.68579,62176.12,41448,3265,28403,1.4941,1.3788199,1.64169,1.4337699,matched (3)
University of North Carolina at Asheville,Asheville,NC,28804-8510,35.617068,-82.565392,0.7942,595,570,25,25,23,NULL,1185,3206,8677,10130,12644,16151,17631,NULL,NULL,NULL,NULL,NULL,20127,0.6242,20987,16000,15000,12892,0.6122059758,0.0514939606,63571.741894,56376.64,33582,5,28804,1.45913,1.3583,1.53668,1.3810199,matched (3)
University of North Carolina at Chapel Hill,Chapel Hill,NC,27599,35.911769,-79.050969,0.25,685,700,31,32,29,9,1393,19261,3753,5729,11619,19088,22881,NULL,NULL,NULL,NULL,NULL,24220,0.9074,14500,8500,12500,15000,0.6196397942,0.0218696398,81233.056818,66893.88,51002,10697,27599,1.6759501,1.4611,1.80232,1.5435899,matched (3)
University of North Carolina at Charlotte,Charlotte,NC,28223-0001,35.306022,-80.730919,0.7953,600,595,25,24,24,7,1200,23852,12751,13226,16938,21011,22783,NULL,NULL,NULL,NULL,NULL,23478,0.6518,21668,17846,16500,16000,0.5223081499,0.0489787825,62274.387369,65762.02,42249,5971,28223,1.51098,1.24213,1.6779799,1.34395,matched (3)
University of North Carolina at Greensboro,Greensboro,NC,27402-6170,36.068236,-79.809414,0.8754,540,530,22,21,21,7,1093,15696,7645,9190,13214,17861,18763,NULL,NULL,NULL,NULL,NULL,19179,0.5868,23000,16250,17117,15250,0.6852653718,0.0742298651,50947.660027,60658.11,36963,3769,27402,1.32126,1.1612999,1.50314,1.23955,matched (3)
University of North Carolina at Pembroke,Pembroke,NC,28372-1510,34.688313,-79.200347,0.9138,505,495,19,17,18,NULL,1012,6347,8412,9817,12263,14915,15119,NULL,NULL,NULL,NULL,NULL,15952,0.4248,25031,16750,14659,14000,0.606557377,0.0940303124,42609.003712,49520.51,33721,1826,28372,.98079997,.89534998,1.22314,.98316997,matched (3)
University of North Dakota,Grand Forks,ND,58202-8193,47.921654,-97.071738,0.8675,550,565,24,23,24,NULL,1163,9219,12394,13151,15818,17859,19054,NULL,NULL,NULL,NULL,NULL,23119,0.6111,22500,14462,16321,15500,0.4770762379,0.0895991616,89027.503799,56722.24,48276,3819,58202,1.72682,1.35984,1.81709,1.40178,matched (3)
University of North Florida,Jacksonville,FL,32224-7699,30.27194,-81.509144,0.7992,580,555,24,23,22,8,1144,14308,4367,6074,10194,14635,15287,NULL,NULL,NULL,NULL,NULL,19469,0.6615,16331,12500,11946,11250,0.6145483297,0.0820320221,53956.388417,62628.24,42012,2376,32224,1.58473,1.40128,1.7316999,1.4622,matched (3)
University of North Georgia,Dahlonega,GA,30597,34.530219,-83.985694,0.8145,550,535,22,22,22,NULL,1097,17341,7943,8654,11005,12843,13392,NULL,NULL,NULL,NULL,NULL,16816,0.3941,18750,10176,9028,9071,0.5747065101,0.0609658485,59749.405683,NULL,37199,774,30597,1.4525,1.33771,1.59872,1.41839,matched (3)
University of North Texas,Denton,TX,76203-1277,33.211178,-97.148422,0.8398,580,565,24,24,22,NULL,1152,32814,6387,6401,14132,17970,20660,NULL,NULL,NULL,NULL,NULL,23770,0.5713,19200,13287,14000,14000,0.5485318429,0.0583326773,58313.492246,72891.36,43194,8139,76203,1.57049,1.36728,1.72208,1.47372,matched (3)
University of North Texas Health Science Center,Fort Worth,TX,76107-2699,32.749907,-97.369138,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,63070.86,NULL,2329,76107,,,,,master only (1)
University of North Texas at Dallas,Dallas,TX,75241,32.659588,-96.803446,0.9299,395,455,19,NULL,NULL,NULL,956,3357,6430,8094,10578,12974,11196,NULL,NULL,NULL,NULL,NULL,18930,0.3652,18502,12500,12500,9819,0.7336792045,0.177258971,30498.626027,NULL,NULL,777,75241,,,,,matched (3)
University of Northern Colorado,Greeley,CO,80639,40.410855,-104.692777,0.877,550,540,23,22,21,NULL,1099,7531,13150,13774,14111,16144,20022,NULL,NULL,NULL,NULL,NULL,23864,0.5175,20500,14250,12750,13897,0.6510354677,0.0590335634,67385.386337,72445.43,39460,2966,80639,1.7594301,1.29983,1.83531,1.36587,matched (3)
University of Northern Iowa,Cedar Falls,IA,50614-0005,42.514923,-92.459703,0.7888,575,555,23,22,22,7,1149,8204,10513,13175,15287,18318,19089,NULL,NULL,NULL,NULL,NULL,21047,0.6356,20000,15000,16500,16998,0.5950834879,0.0294526902,76814.519481,56117.97,43071,1218,50614,1.75515,1.2686,1.8452899,1.30911,matched (3)
University of Northwestern Ohio,Lima,OH,45805,40.762917,-84.157004,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2944,NULL,NULL,NULL,NULL,NULL,14784,15907,20243,22475,22504,23382,0.6232,19125,13083,13084,13084,0.2002881844,0.049351585,55241.773415,58329.78,42048,65,45805,1.36602,.93730003,1.44251,.95986998,matched (3)
University of Northwestern-St Paul,Saint Paul,MN,55113-1598,45.033703,-93.167822,0.9222,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1658,NULL,NULL,NULL,NULL,NULL,19084,18896,18229,21529,27205,43817,0.686,21413,17800,17500,17413,0.5782881002,0.0751565762,79168.968685,70065.41,39803,143,55113,1.79415,1.4351701,1.84635,1.4506,matched (3)
University of Notre Dame,Notre Dame,IN,46556,41.703058,-86.238959,0.1899,725,750,34,NULL,NULL,NULL,1489,8854,NULL,NULL,NULL,NULL,NULL,9872,9136,14020,18969,44972,74172,0.9651,19000,15420,17125,19000,0.4604402142,PrivacySuppressed,134386.61095,76710.92,76123,3935,46556,1.76837,1.6153001,1.86748,1.65513,matched (3)
University of Oklahoma-Health Sciences Center,Oklahoma City,OK,73117-1221,35.47928,-97.496289,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,806,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,20718,15523,15192,15250,0.5573545135,0.0934779288,74741.005346,54119.41,46766,2310,73117,,,,,master only (1)
University of Oklahoma-Norman Campus,Norman,OK,73019-3072,35.209407,-97.444211,0.8338,605,595,26,26,24,NULL,1233,21087,16103,16846,21725,25044,26061,NULL,NULL,NULL,NULL,NULL,29577,0.7209,20718,15523,15192,15250,0.5573545135,0.0934779288,74741.005346,59522.71,46766,6389,73019,1.6989599,1.43156,1.8518,1.5707999,matched (3)
University of Oregon,Eugene,OR,97403,44.045146,-123.075792,0.8381,600,590,26,26,24,NULL,1207,17972,13666,13709,16014,22728,24459,NULL,NULL,NULL,NULL,NULL,27717,0.7389,20500,16500,15334,14500,0.581754386,0.0301754386,78050.591053,62294.9,43702,3707,97403,1.67115,1.4259501,1.81308,1.5565701,matched (3)
University of Pennsylvania,Philadelphia,PA,19104-6303,39.950929,-75.19391,0.0898,740,775,34,35,33,9,1517,10507,NULL,NULL,NULL,NULL,NULL,580,1938,12020,20957,43447,78186,0.9554,16763,12500,13419,15500,0.5721331689,0.0365803535,71672.948623,78252,80445,15397,19104,1.87938,1.57731,1.92989,1.64226,matched (3)
University of Pikeville,Pikeville,KY,41501,37.479232,-82.521063,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1073,NULL,NULL,NULL,NULL,NULL,11096,12358,14360,16942,18574,33068,0.3219,20754,12323,12250,12433,0.4920440636,0.0501835985,37729.53978,35782.96,32538,892,41501,1.2673,.56308001,1.3745199,.62412,matched (3)
University of Pittsburgh-Bradford,Bradford,PA,16701,41.943415,-78.673701,0.7919,528,520,22,20,20,7,1055,1297,10311,11724,17344,22401,23635,NULL,NULL,NULL,NULL,NULL,28132,0.4315,24550,19500,20750,20500,0.529968119,0.0175345377,95689.110946,58452.18,48483,NULL,16701,1.3122,.91210997,1.45258,.95344001,matched (3)
University of Pittsburgh-Greensburg,Greensburg,PA,15601-5860,40.276447,-79.532676,0.9002,545,535,22,21,22,7,1085,1398,9777,11679,15996,20578,22756,NULL,NULL,NULL,NULL,NULL,27461,0.3617,24550,19500,20750,20500,0.529968119,0.0175345377,95689.110946,58452.18,48483,NULL,15601,1.53025,1.17777,1.66276,1.18856,matched (3)
University of Pittsburgh-Johnstown,Johnstown,PA,15904,40.265957,-78.834163,0.8662,550,550,23,21,22,7,1108,2353,10570,11073,17271,21035,22081,NULL,NULL,NULL,NULL,NULL,27031,0.546,24550,19500,20750,20500,0.529968119,0.0175345377,95689.110946,58452.18,48483,NULL,15904,1.49818,1.06391,1.64622,1.09887,matched (3)
University of Pittsburgh-Pittsburgh Campus,Pittsburgh,PA,15260,40.444388,-79.953254,0.6388,662,670,30,30,29,9,1346,19154,15084,17691,24139,29274,32165,NULL,NULL,NULL,NULL,NULL,33964,0.8354,24550,19500,20750,20500,0.529968119,0.0175345377,95689.110946,58452.18,48483,9120,15260,1.66236,1.44802,1.82858,1.5165401,matched (3)
University of Portland,Portland,OR,97203-5798,45.572724,-122.726691,0.7722,615,610,26,27,25,NULL,1233,3536,NULL,NULL,NULL,NULL,NULL,28527,32449,35514,38359,39393,64049,0.8407,23250,18750,19500,18500,0.6276041667,0.015625,107252.36545,67900.72,63653,440,97203,1.75976,1.54495,1.8328,1.5607899,matched (3)
University of Providence,Great Falls,MT,59405-4996,47.490713,-111.270604,0.9853,500,420,20,18,20,NULL,1013,781,NULL,NULL,NULL,NULL,NULL,23031,23747,24544,27751,25657,40556,0.38,20136,14250,14001,6500,0.5652173913,0.1739130435,58825.501672,48623.58,34490,215,59405,,,,,master only (1)
University of Puerto Rico at Ponce,Ponce,PR,00716-9996,17.993314,-66.606215,0.5029,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2380,7103,8013,10057,10927,NULL,NULL,NULL,NULL,NULL,NULL,13272,0.4766,5500,5000,PrivacySuppressed,PrivacySuppressed,0.565099946,0.0075634792,19917.226904,20501.04,23331,NULL,716,,,,,master only (1)
University of Puerto Rico-Aguadilla,Aguadilla,PR,00604-6150,18.498652,-67.13793,0.8823,509,490,NULL,NULL,NULL,NULL,999,2403,4125,5163,6061,5984,NULL,NULL,NULL,NULL,NULL,NULL,11704,0.5068,5500,5500,PrivacySuppressed,PrivacySuppressed,0.5503199535,0.0110529378,18894.154741,20501.04,22972,NULL,604,1.25804,,1.3292,,matched (3)
University of Puerto Rico-Arecibo,Arecibo,PR,00614-4010,18.469199,-66.74114,0.6102,NULL,NULL,NULL,NULL,NULL,NULL,NULL,3378,9829,10933,12865,14388,9821,NULL,NULL,NULL,NULL,NULL,16016,0.4956,4500,4500,PrivacySuppressed,PrivacySuppressed,0.5957883924,0.009758603,19014.301489,20501.04,21300,NULL,614,1.26524,,1.39064,,matched (3)
University of Puerto Rico-Bayamon,Bayamon,PR,00959,18.371398,-66.143541,0.9107,NULL,NULL,NULL,NULL,NULL,NULL,NULL,3592,6672,7132,8187,8808,NULL,NULL,NULL,NULL,NULL,NULL,9732,0.2882,5500,5340,PrivacySuppressed,PrivacySuppressed,0.5019588639,0.0107737512,21520.020568,20501.04,24348,NULL,959,1.5508699,,1.57188,,matched (3)
University of Puerto Rico-Carolina,Carolina,PR,00984-4800,18.392069,-65.990165,0.429,507,474,NULL,NULL,NULL,NULL,981,2488,7553,8266,8930,9435,NULL,NULL,NULL,NULL,NULL,NULL,14816,0.4595,4399,4500,4500,3583,0.6201705971,0.0120421475,21569.567486,20501.04,24948,NULL,984,1.37702,,1.5144,,matched (3)
University of Puerto Rico-Cayey,Cayey,PR,00737-2230,18.11882,-66.162066,0.8936,541,519,NULL,NULL,NULL,NULL,1060,2951,4992,6243,7051,8806,11107,NULL,NULL,NULL,NULL,NULL,12618,0.5184,5000,5000,PrivacySuppressed,PrivacySuppressed,0.664516129,PrivacySuppressed,19527.585663,20501.04,21562,NULL,737,1.32735,,1.47214,,matched (3)
University of Puerto Rico-Humacao,Humacao,PR,00792,18.146589,-65.838602,0.532,NULL,NULL,NULL,NULL,NULL,NULL,NULL,3049,8427,9839,11942,13016,NULL,NULL,NULL,NULL,NULL,NULL,14817,0.5212,5500,5500,PrivacySuppressed,PrivacySuppressed,0.6555676856,0.0065502183,20489.55786,20501.04,19588,NULL,792,1.28449,,1.44236,,matched (3)
University of Puerto Rico-Mayaguez,Mayaguez,PR,00681,18.211142,-67.139172,0.674,NULL,NULL,NULL,NULL,NULL,NULL,NULL,11776,9276,10427,11994,14066,15659,NULL,NULL,NULL,NULL,NULL,16727,0.457,8250,7500,7250,5500,0.4739855614,0.002738362,23579.509584,20501.04,34038,859,681,1.53215,.88554001,1.64414,.96785998,matched (3)
University of Puerto Rico-Medical Sciences,San Juan,PR,00936-5067,18.396548,-66.074894,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,357,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,5500,5500,PrivacySuppressed,PrivacySuppressed,0.7346278317,PrivacySuppressed,20336.796117,20501.04,36333,1861,936,,,,,master only (1)
University of Puerto Rico-Rio Piedras,San Juan,PR,00931-0000,18.402826,-66.050009,0.4865,NULL,NULL,NULL,NULL,NULL,NULL,NULL,10784,7709,8215,10614,8139,NULL,NULL,NULL,NULL,NULL,NULL,14035,0.5322,5500,5500,5500,5500,0.6184486373,0.0056603774,22071.329769,20501.04,24315,3015,931,1.62036,1.013,1.71629,1.0987,matched (3)
University of Puerto Rico-Utuado,Utuado,PR,00641,18.254577,-66.721667,0.6771,NULL,NULL,NULL,NULL,NULL,NULL,NULL,539,11294,12508,13181,12813,NULL,NULL,NULL,NULL,NULL,NULL,17476,0.198,4500,3750,PrivacySuppressed,PrivacySuppressed,0.5121293801,PrivacySuppressed,16379.669362,20501.04,18372,NULL,641,,,,,matched (3)
University of Puget Sound,Tacoma,WA,98416,47.26308,-122.478982,0.8685,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1896,NULL,NULL,NULL,NULL,NULL,24734,24158,30077,31947,41005,68072,0.7707,25962,22125,20000,17500,0.6393861893,0.0230179028,112275.19182,72356.02,42979,232,98416,1.8232599,1.57868,1.87151,1.60607,matched (3)
University of Redlands,Redlands,CA,92373-0999,34.064218,-117.163218,0.6865,580,560,22,26,24,NULL,1135,2810,NULL,NULL,NULL,NULL,NULL,20409,22360,21947,23742,36166,68156,0.7122,26249,23250,23694,21500,0.592654424,0.1035058431,80247.423205,68599.2,53517,1724,92373,1.82117,1.53829,1.87492,1.60355,matched (3)
University of Rhode Island,Kingston,RI,02881,41.484691,-71.527356,0.7551,590,585,26,25,25,NULL,1183,13971,12175,13601,18131,22796,26551,NULL,NULL,NULL,NULL,NULL,30339,0.7061,22214,16000,17813,18500,0.5947167188,0.0297184567,93356.13382,72503.8,51827,2745,2881,1.7061501,1.42134,1.84453,1.53742,matched (3)
University of Richmond,University of Richmond,VA,23173,37.577393,-77.538806,0.309,670,700,32,NULL,NULL,NULL,1394,3304,NULL,NULL,NULL,NULL,NULL,8010,8606,16063,22625,45094,69606,0.8796,20500,13169,18198,19500,0.5490909091,0.04,102442.92485,83716.34,61214,733,23173,1.8197401,1.60957,1.89131,1.66019,matched (3)
University of Rio Grande,Rio Grande,OH,45674,38.881764,-82.378852,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,756,NULL,NULL,NULL,NULL,NULL,34720,35548,39044,39732,40256,40938,0.2493,18500,10656,12000,12546,0.6579163249,0.1796554553,40761.137818,43944.59,29496,15,45674,1.18602,.79246002,1.4271801,.86787999,matched (3)
University of Rochester,Rochester,NY,14627-0011,43.126397,-77.631202,0.3543,685,735,32,33,31,NULL,1429,6299,NULL,NULL,NULL,NULL,NULL,12915,17764,23108,28633,45827,75190,0.8582,20000,19000,19000,19000,0.5490993608,0.0180127833,83523.667054,76108.65,57648,5220,14627,1.7144099,1.4667,1.8192101,1.53494,matched (3)
University of Saint Francis-Fort Wayne,Fort Wayne,IN,46808-3994,41.087205,-85.177246,0.9905,535,525,22,21,21,NULL,1075,1746,NULL,NULL,NULL,NULL,NULL,13374,15158,18452,23421,23859,40759,0.5058,25750,15875,19376,18625,0.7222715173,0.1251109139,62178.923691,63802.5,41658,518,46808,1.56907,1.07567,1.71149,1.1086,matched (3)
University of Saint Joseph,West Hartford,CT,06117,41.781041,-72.72965,0.7802,543,528,23,24,25,NULL,1073,884,NULL,NULL,NULL,NULL,NULL,20318,20455,24611,26847,27431,50959,0.5638,27000,25000,26000,23145,0.9681050657,0.0544090056,60575.076923,74607,37568,1407,6117,1.71948,,1.82248,,matched (3)
University of Saint Katherine,San Marcos,CA,92069,33.151283,-117.196552,0.6379,515,540,21,20,22,NULL,1061,238,NULL,NULL,NULL,NULL,NULL,20750,21898,18637,22239,29149,40522,NULL,21500,13993,10750,15000,NULL,NULL,NULL,NULL,NULL,11,92069,,,,,master only (1)
University of Saint Mary,Leavenworth,KS,66048-5082,39.279396,-94.906743,0.5956,485,480,20,21,20,NULL,1020,762,NULL,NULL,NULL,NULL,NULL,18636,19277,19207,22070,24980,42175,0.5607,22500,16965,15000,15750,0.5247524752,0.0930693069,65259.50099,62613.14,45019,419,66048,1.5318,1.16245,1.71231,1.1716599,matched (3)
University of Saint Mary of the Lake,Mundelein,IL,60060-1174,42.280702,-88.000262,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,186,60060,,,,,master only (1)
