School,Zip Code,City,State,Admissions Rate,Median ACT,Average SAT,# of Undergrads,Graduation Rate, Median Debt After Graduation , Median Salary (2-years post-graduation) ,Economic Connectedness
University of North Carolina School of the Arts,27127-2738,Winston Salem,NC,36.34%,26,1224,916,72.15%," $25,000.00 "," $33,020.00 ",84.97%
University of North Carolina Wilmington,28403-5963,Wilmington,NC,67.97%,25,1226,14326,73.52%," $20,000.00 "," $41,448.00 ",74.71%
University of North Carolina at Asheville,28804-8510,Asheville,NC,79.42%,25,1185,3206,62.42%," $20,987.00 "," $33,582.00 ",72.96%
University of North Carolina at Chapel Hill,27599,Chapel Hill,NC,25.00%,31,1393,19261,90.74%," $14,500.00 "," $51,002.00 ",83.80%
University of North Carolina at Charlotte,28223-0001,Charlotte,NC,79.53%,25,1200,23852,65.18%," $21,668.00 "," $42,249.00 ",75.55%
University of North Carolina at Greensboro,27402-6170,Greensboro,NC,87.54%,22,1093,15696,58.68%," $23,000.00 "," $36,963.00 ",66.06%
University of North Carolina at Pembroke,28372-1510,Pembroke,NC,91.38%,19,1012,6347,42.48%," $25,031.00 "," $33,721.00 ",49.04%
University of North Dakota,58202-8193,Grand Forks,ND,86.75%,24,1163,9219,61.11%," $22,500.00 "," $48,276.00 ",86.34%
University of North Florida,32224-7699,Jacksonville,FL,79.92%,24,1144,14308,66.15%," $16,331.00 "," $42,012.00 ",79.24%
University of North Georgia,30597,Dahlonega,GA,81.45%,22,1097,17341,39.41%," $18,750.00 "," $37,199.00 ",72.63%
University of North Texas,76203-1277,Denton,TX,83.98%,24,1152,32814,57.13%," $19,200.00 "," $43,194.00 ",78.52%
University of North Texas Health Science Center,76107-2699,Fort Worth,TX,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available, Data Not Available , Data Not Available ,Data Not Available
University of North Texas at Dallas,75241,Dallas,TX,92.99%,19,956,3357,36.52%," $18,502.00 ", Data Not Available ,Data Not Available
University of Northern Colorado,80639,Greeley,CO,87.70%,23,1099,7531,51.75%," $20,500.00 "," $39,460.00 ",87.97%
University of Northern Iowa,50614-0005,Cedar Falls,IA,78.88%,23,1149,8204,63.56%," $20,000.00 "," $43,071.00 ",87.76%
University of Northwestern Ohio,45805,Lima,OH,Data Not Available,Data Not Available,Data Not Available,2944,62.32%," $19,125.00 "," $42,048.00 ",68.30%
University of Northwestern-St Paul,55113-1598,Saint Paul,MN,92.22%,Data Not Available,Data Not Available,1658,68.60%," $21,413.00 "," $39,803.00 ",89.71%
University of Notre Dame,46556,Notre Dame,IN,18.99%,34,1489,8854,96.51%," $19,000.00 "," $76,123.00 ",88.42%
University of Oklahoma-Health Sciences Center,73117-1221,Oklahoma City,OK,Data Not Available,Data Not Available,Data Not Available,806,Data Not Available," $20,718.00 "," $46,766.00 ",Data Not Available
University of Oklahoma-Norman Campus,73019-3072,Norman,OK,83.38%,26,1233,21087,72.09%," $20,718.00 "," $46,766.00 ",84.95%
University of Oregon,97403,Eugene,OR,83.81%,26,1207,17972,73.89%," $20,500.00 "," $43,702.00 ",83.56%
University of Pennsylvania,19104-6303,Philadelphia,PA,8.98%,34,1517,10507,95.54%," $16,763.00 "," $80,445.00 ",93.97%
University of Pikeville,41501,Pikeville,KY,Data Not Available,Data Not Available,Data Not Available,1073,32.19%," $20,754.00 "," $32,538.00 ",63.37%
University of Pittsburgh-Bradford,16701,Bradford,PA,79.19%,22,1055,1297,43.15%," $24,550.00 "," $48,483.00 ",65.61%
University of Pittsburgh-Greensburg,15601-5860,Greensburg,PA,90.02%,22,1085,1398,36.17%," $24,550.00 "," $48,483.00 ",76.51%
University of Pittsburgh-Johnstown,15904,Johnstown,PA,86.62%,23,1108,2353,54.60%," $24,550.00 "," $48,483.00 ",74.91%
University of Pittsburgh-Pittsburgh Campus,15260,Pittsburgh,PA,63.88%,30,1346,19154,83.54%," $24,550.00 "," $48,483.00 ",83.12%
University of Portland,97203-5798,Portland,OR,77.22%,26,1233,3536,84.07%," $23,250.00 "," $63,653.00 ",87.99%
University of Providence,59405-4996,Great Falls,MT,98.53%,20,1013,781,38.00%," $20,136.00 "," $34,490.00 ",Data Not Available
University of Puerto Rico at Ponce,00716-9996,Ponce,PR,50.29%,Data Not Available,Data Not Available,2380,47.66%," $5,500.00 "," $23,331.00 ",Data Not Available
University of Puerto Rico-Aguadilla,00604-6150,Aguadilla,PR,88.23%,Data Not Available,999,2403,50.68%," $5,500.00 "," $22,972.00 ",62.90%
University of Puerto Rico-Arecibo,00614-4010,Arecibo,PR,61.02%,Data Not Available,Data Not Available,3378,49.56%," $4,500.00 "," $21,300.00 ",63.26%
University of Puerto Rico-Bayamon,959,Bayamon,PR,91.07%,Data Not Available,Data Not Available,3592,28.82%," $5,500.00 "," $24,348.00 ",77.54%
University of Puerto Rico-Carolina,00984-4800,Carolina,PR,42.90%,Data Not Available,981,2488,45.95%," $4,399.00 "," $24,948.00 ",68.85%
University of Puerto Rico-Cayey,00737-2230,Cayey,PR,89.36%,Data Not Available,1060,2951,51.84%," $5,000.00 "," $21,562.00 ",66.37%
University of Puerto Rico-Humacao,792,Humacao,PR,53.20%,Data Not Available,Data Not Available,3049,52.12%," $5,500.00 "," $19,588.00 ",64.22%
University of Puerto Rico-Mayaguez,681,Mayaguez,PR,67.40%,Data Not Available,Data Not Available,11776,45.70%," $8,250.00 "," $34,038.00 ",76.61%
University of Puerto Rico-Medical Sciences,00936-5067,San Juan,PR,Data Not Available,Data Not Available,Data Not Available,357,Data Not Available," $5,500.00 "," $36,333.00 ",Data Not Available
University of Puerto Rico-Rio Piedras,00931-0000,San Juan,PR,48.65%,Data Not Available,Data Not Available,10784,53.22%," $5,500.00 "," $24,315.00 ",81.02%
University of Puerto Rico-Utuado,641,Utuado,PR,67.71%,Data Not Available,Data Not Available,539,19.80%," $4,500.00 "," $18,372.00 ",Data Not Available
University of Puget Sound,98416,Tacoma,WA,86.85%,Data Not Available,Data Not Available,1896,77.07%," $25,962.00 "," $42,979.00 ",91.16%
University of Redlands,92373-0999,Redlands,CA,68.65%,22,1135,2810,71.22%," $26,249.00 "," $53,517.00 ",91.06%
University of Rhode Island,2881,Kingston,RI,75.51%,26,1183,13971,70.61%," $22,214.00 "," $51,827.00 ",85.31%
University of Richmond,23173,University of Richmond,VA,30.90%,32,1394,3304,87.96%," $20,500.00 "," $61,214.00 ",90.99%
University of Rio Grande,45674,Rio Grande,OH,Data Not Available,Data Not Available,Data Not Available,756,24.93%," $18,500.00 "," $29,496.00 ",59.30%
University of Rochester,14627-0011,Rochester,NY,35.43%,32,1429,6299,85.82%," $20,000.00 "," $57,648.00 ",85.72%
University of Saint Francis-Fort Wayne,46808-3994,Fort Wayne,IN,99.05%,22,1075,1746,50.58%," $25,750.00 "," $41,658.00 ",78.45%
University of Saint Joseph,6117,West Hartford,CT,78.02%,23,1073,884,56.38%," $27,000.00 "," $37,568.00 ",85.97%
University of Saint Katherine,92069,San Marcos,CA,63.79%,21,1061,238,Data Not Available," $21,500.00 ", Data Not Available ,Data Not Available
University of Saint Mary,66048-5082,Leavenworth,KS,59.56%,20,1020,762,56.07%," $22,500.00 "," $45,019.00 ",76.59%
University of Saint Mary of the Lake,60060-1174,Mundelein,IL,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available, Data Not Available , Data Not Available ,Data Not Available
University of San Diego,92110-2492,San Diego,CA,58.70%,Data Not Available,Data Not Available,5454,80.48%," $23,169.00 "," $59,002.00 ",92.73%
University of San Francisco,94117-1080,San Francisco,CA,70.30%,27,1248,5810,71.50%," $23,250.00 "," $64,896.00 ",94.55%
University of Science and Arts of Oklahoma,73018-5322,Chickasha,OK,35.75%,17,917,718,41.07%," $20,825.00 "," $32,288.00 ",75.85%
University of Scranton,18510-4699,Scranton,PA,78.73%,26,1200,3592,81.54%," $27,000.00 "," $57,562.00 ",89.30%
University of Sioux Falls,57105-1699,Sioux Falls,SD,92.29%,Data Not Available,Data Not Available,1311,57.56%," $23,250.00 "," $42,369.00 ",88.00%
University of South Alabama,36688-0002,Mobile,AL,73.03%,24,1162,8787,44.91%," $25,000.00 "," $36,829.00 ",59.12%
University of South Carolina Aiken,29801,Aiken,SC,55.88%,21,1062,2975,41.08%," $24,825.00 "," $35,715.00 ",61.98%
University of South Carolina Beaufort,29909,Bluffton,SC,66.94%,20,1029,1898,34.48%," $25,000.00 "," $35,435.00 ",59.82%
University of South Carolina-Columbia,29208,Columbia,SC,68.35%,28,1268,27053,78.01%," $22,303.00 "," $45,626.00 ",73.90%
University of South Carolina-Upstate,29303-4999,Spartanburg,SC,59.54%,19,1005,4999,47.23%," $22,169.00 "," $37,542.00 ",59.03%
University of South Dakota,57069-2390,Vermillion,SD,90.95%,23,1134,5684,59.98%," $23,500.00 "," $40,830.00 ",85.80%
University of South Florida,33620-9951,Tampa,FL,49.24%,28,1256,37002,73.66%," $18,341.00 "," $43,307.00 ",75.02%
University of Southern California,90089,Los Angeles,CA,16.11%,32,1441,19521,91.67%," $18,956.00 "," $65,748.00 ",88.81%
University of Southern Indiana,47712,Evansville,IN,93.87%,22,1089,6680,53.06%," $20,734.00 "," $37,717.00 ",74.77%
University of Southern Maine,4103,Portland,ME,87.93%,23,1062,5018,36.05%," $19,060.00 "," $37,949.00 ",78.67%
University of Southern Mississippi,39406-0001,Hattiesburg,MS,96.33%,23,1135,11348,49.75%," $22,000.00 "," $33,869.00 ",61.32%
University of St Francis,60435-6188,Joliet,IL,60.09%,24,1096,1581,59.72%," $23,025.00 "," $50,636.00 ",81.33%
University of St Thomas,55105-1078,Saint Paul,MN,87.40%,26,1249,6276,80.23%," $24,201.00 "," $56,089.00 ",88.76%
University of St Thomas,77006-4696,Houston,TX,96.09%,Data Not Available,Data Not Available,2330,65.92%," $20,500.00 "," $49,585.00 ",Data Not Available
University of Texas Health Science Center at Tyler,75708-3154,Tyler,TX,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available, Data Not Available , Data Not Available ,Data Not Available
University of Texas Southwestern Medical Center,75390-9096,Dallas,TX,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available, Data Not Available , Data Not Available ,Data Not Available
University of Toledo,43606-3390,Toledo,OH,94.68%,23,1135,13205,52.55%," $21,852.00 "," $38,002.00 ",62.25%
University of Tulsa,74104-3189,Tulsa,OK,69.22%,27,1255,2905,72.54%," $23,250.00 "," $46,856.00 ",87.51%
University of Utah,84112-9008,Salt Lake City,UT,79.40%,26,1236,23645,67.10%," $18,750.00 "," $47,996.00 ",87.06%
University of Valley Forge,19460-2373,Phoenixville,PA,63.03%,Data Not Available,Data Not Available,454,45.00%," $27,000.00 "," $30,912.00 ",86.88%
University of Vermont,05405-0160,Burlington,VT,71.32%,29,1276,10585,75.91%," $21,111.00 "," $44,057.00 ",89.19%
University of Virginia's College at Wise,24293-4400,Wise,VA,82.57%,21,1073,1143,51.80%," $17,900.00 "," $34,346.00 ",Data Not Available
University of Virginia-Main Campus,22903-2628,Charlottesville,VA,22.58%,32,1426,17076,94.01%," $18,250.00 "," $64,712.00 ",90.84%
University of Washington-Bothell Campus,98011-8246,Bothell,WA,87.93%,24,1158,5618,62.88%," $15,000.00 "," $55,968.00 ",Data Not Available
University of Washington-Seattle Campus,98195-4550,Seattle,WA,55.86%,30,1341,31145,82.00%," $15,000.00 "," $55,968.00 ",90.99%
University of Washington-Tacoma Campus,98402-3100,Tacoma,WA,86.05%,20,1068,4552,60.34%," $15,000.00 "," $55,968.00 ",Data Not Available
University of West Alabama,35470,Livingston,AL,93.13%,20,1035,2247,40.11%," $26,000.00 "," $34,478.00 ",54.52%
University of West Georgia,30118-0001,Carrollton,GA,77.62%,20,1012,9444,44.35%," $24,026.00 "," $37,263.00 ",67.82%
University of Western States,97213,Portland,OR,Data Not Available,Data Not Available,Data Not Available,3,Data Not Available, Data Not Available ," $32,138.00 ",Data Not Available
University of Wisconsin-Eau Claire,54701,Eau Claire,WI,84.36%,24,1170,10093,64.60%," $21,500.00 "," $44,650.00 ",88.65%
University of Wisconsin-Green Bay,54311-7001,Green Bay,WI,89.82%,21,1085,6657,56.61%," $18,750.00 "," $40,672.00 ",82.62%
University of Wisconsin-La Crosse,54601-9959,La Crosse,WI,75.15%,24,1185,9375,70.93%," $22,297.00 "," $44,674.00 ",88.05%
University of Wisconsin-Madison,53706-1380,Madison,WI,57.25%,30,1364,31651,88.35%," $20,500.00 "," $55,313.00 ",88.79%
University of Wisconsin-Milwaukee,53211,Milwaukee,WI,78.69%,22,1105,18910,45.64%," $23,948.00 "," $41,703.00 ",74.27%
University of Wisconsin-Milwaukee Flex,53201,Milwaukee,WI,100.00%,Data Not Available,Data Not Available,590,Data Not Available," $23,948.00 "," $41,703.00 ",Data Not Available
University of Wisconsin-Oshkosh,54901,Oshkosh,WI,78.58%,22,1105,9147,55.51%," $22,068.00 "," $43,295.00 ",84.72%
University of Wisconsin-Parkside,53144,Kenosha,WI,66.31%,20,1050,3612,38.65%," $21,375.00 "," $38,442.00 ",72.47%
University of Wisconsin-Parkside Flex,53141,Kenosha,WI,Data Not Available,Data Not Available,Data Not Available,145,Data Not Available," $21,375.00 "," $38,442.00 ",Data Not Available
University of Wisconsin-Platteville,53818-3099,Platteville,WI,81.48%,23,1150,6757,56.18%," $21,986.00 "," $47,069.00 ",82.41%
University of Wisconsin-River Falls,54022-5001,River Falls,WI,76.85%,22,1120,5238,58.32%," $20,500.00 "," $41,381.00 ",86.45%
University of Wisconsin-Stevens Point,54481-3897,Stevens Point,WI,86.54%,22,1105,7258,58.86%," $22,140.00 "," $40,037.00 ",81.15%
University of Wisconsin-Stout,54751,Menomonie,WI,90.10%,23,1135,6788,60.01%," $23,825.00 "," $46,343.00 ",85.61%
University of Wisconsin-Superior,54880-4500,Superior,WI,86.13%,21,1085,2040,43.25%," $23,750.00 "," $38,090.00 ",78.29%
University of Wisconsin-Whitewater,53190-1790,Whitewater,WI,79.92%,22,1105,9900,61.98%," $23,223.00 "," $43,126.00 ",84.15%
University of Wyoming,82071,Laramie,WY,94.23%,25,1185,9140,59.16%," $18,318.00 "," $43,335.00 ",82.67%
University of the Cumberlands,40769,Williamsburg,KY,81.44%,22,1095,4014,40.05%," $15,540.00 "," $33,995.00 ",Data Not Available
University of the District of Columbia,20008,Washington,DC,Data Not Available,Data Not Available,Data Not Available,3297,22.84%," $25,000.00 "," $32,237.00 ",43.86%
University of the District of Columbia-David A Clarke School of Law,20008,Washington,DC,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available," $25,000.00 "," $32,237.00 ",Data Not Available
University of the Incarnate Word,78209,San Antonio,TX,96.56%,20,1046,4856,56.31%," $27,000.00 "," $41,558.00 ",78.85%
University of the Ozarks,72830,Clarksville,AR,55.90%,21,1070,831,47.37%," $20,300.00 "," $32,401.00 ",69.12%
University of the Pacific,95211-0197,Stockton,CA,70.75%,26,1221,3493,70.10%," $19,500.00 "," $58,630.00 ",88.77%
University of the People,91101,Pasadena,CA,Data Not Available,Data Not Available,Data Not Available,7372,23.27%, Data Not Available , Data Not Available ,Data Not Available
University of the Sciences,19104-4495,Philadelphia,PA,71.40%,26,1218,1393,80.56%," $27,000.00 "," $77,779.00 ",91.60%
University of the Southwest,88240,Hobbs,NM,Data Not Available,Data Not Available,Data Not Available,370,25.53%," $23,000.00 "," $34,884.00 ",Data Not Available
University of the Virgin Islands,00802-9990,Charlotte Amalie,VI,99.69%,16,914,1523,30.14%," $16,500.00 "," $28,050.00 ",63.18%
University of the West,91770,Rosemead,CA,Data Not Available,Data Not Available,Data Not Available,108,27.59%, Data Not Available , Data Not Available ,Data Not Available
Upper Iowa University,52142-1857,Fayette,IA,65.30%,21,1035,2934,27.06%," $24,972.00 "," $43,333.00 ",Data Not Available
Upper Valley Educators Institute,03766-1358,Lebanon,NH,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available, Data Not Available , Data Not Available ,Data Not Available
Upstate Medical University,13210,Syracuse,NY,Data Not Available,Data Not Available,Data Not Available,205,Data Not Available," $15,000.00 "," $75,980.00 ",Data Not Available
Urshan College,63385,Wentzville,MO,80.00%,Data Not Available,Data Not Available,361,11.76%, Data Not Available , Data Not Available ,Data Not Available
Urshan Graduate School of Theology,63385,Wentzville,MO,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available, Data Not Available , Data Not Available ,Data Not Available
Ursinus College,19426-1000,Collegeville,PA,80.44%,28,1253,1485,73.79%," $27,000.00 "," $46,527.00 ",90.02%
Ursuline College,44124,Pepper Pike,OH,80.79%,21,1067,639,35.87%," $25,000.00 "," $48,546.00 ",73.51%
Uta Mesivta of Kiryas Joel,10950,Monroe,NY,Data Not Available,Data Not Available,Data Not Available,2268,78.67%, Data Not Available ," $21,139.00 ",Data Not Available
Utah State University,84322-1400,Logan,UT,91.04%,25,1217,21087,49.83%," $14,429.00 "," $38,826.00 ",80.97%
Utah Valley University,84058-5999,Orem,UT,Data Not Available,Data Not Available,Data Not Available,28120,31.90%," $15,108.00 "," $39,359.00 ",85.94%
Utica University,13502-4892,Utica,NY,86.41%,Data Not Available,Data Not Available,3108,54.47%," $23,000.00 "," $49,297.00 ",Data Not Available
Valdosta State University,31698,Valdosta,GA,78.45%,21,1072,9367,40.32%," $25,000.00 "," $35,864.00 ",62.12%
Valencia College,32835,Orlando,FL,Data Not Available,Data Not Available,Data Not Available,36915,43.52%," $9,250.00 "," $30,785.00 ",45.19%
Valley City State University,58072,Valley City,ND,80.60%,20,1030,1004,44.91%," $20,500.00 "," $41,624.00 ",83.27%
Valparaiso University,46383,Valparaiso,IN,86.63%,26,1199,2719,65.50%," $27,000.00 "," $47,544.00 ",83.22%
VanderCook College of Music,60616-3731,Chicago,IL,100.00%,18,1007,66,72.00%," $27,000.00 "," $38,073.00 ",Data Not Available
Vanderbilt University,37240,Nashville,TN,11.62%,34,1520,7052,92.75%," $14,509.00 "," $65,261.00 ",90.80%
Vanguard University of Southern California,92626,Costa Mesa,CA,49.99%,21,1050,1995,62.62%," $22,999.00 "," $40,449.00 ",91.29%
Vassar College,12604,Poughkeepsie,NY,24.54%,33,1456,2421,87.61%," $18,707.00 "," $43,438.00 ",92.13%
Vaughn College of Aeronautics and Technology,11369,Flushing,NY,Data Not Available,Data Not Available,Data Not Available,1438,38.08%," $22,750.00 "," $57,695.00 ",73.16%
Veritas Baptist College,47025,Greendale,IN,67.57%,Data Not Available,Data Not Available,164,25.00%, Data Not Available , Data Not Available ,Data Not Available
Vermont College of Fine Arts,5602,Montpelier,VT,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available, Data Not Available , Data Not Available ,Data Not Available
Vermont Law School,05068-0096,South Royalton,VT,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available, Data Not Available , Data Not Available ,Data Not Available
Vermont Technical College,5061,Randolph,VT,58.40%,Data Not Available,Data Not Available,1182,64.32%," $13,000.00 "," $49,559.00 ",73.90%
Villa Maria College,14225-3999,Buffalo,NY,78.74%,Data Not Available,Data Not Available,504,29.52%," $22,500.00 "," $29,697.00 ",44.29%
Villanova University,19085-1699,Villanova,PA,30.66%,32,1406,6980,92.20%," $26,000.00 "," $77,358.00 ",92.14%
Vincennes University,47591,Vincennes,IN,Data Not Available,Data Not Available,Data Not Available,4850,27.57%," $12,596.00 "," $32,546.00 ",57.54%
Virginia Beach Theological Seminary,23464-6847,Virginia Beach,VA,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available, Data Not Available , Data Not Available ,Data Not Available
Virginia Commonwealth University,23284-2512,Richmond,VA,90.60%,25,1163,21334,66.10%," $21,500.00 "," $42,487.00 ",82.10%
Virginia Military Institute,24450-0304,Lexington,VA,59.88%,25,1180,1698,85.40%," $21,500.00 "," $60,651.00 ",82.23%
Virginia Polytechnic Institute and State University,24061-0131,Blacksburg,VA,65.77%,28,1280,29893,86.08%," $22,406.00 "," $60,842.00 ",88.19%
Virginia State University,23806,Petersburg,VA,96.26%,18,916,3653,46.20%," $27,000.00 "," $33,021.00 ",70.48%
Virginia Union University,23220,Richmond,VA,75.35%,15,851,1140,35.63%," $29,000.00 "," $29,643.00 ",65.25%
Virginia University of Integrative Medicine,22031-5310,Fairfax,VA,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available, Data Not Available , Data Not Available ,Data Not Available
Virginia University of Lynchburg,24501,Lynchburg,VA,Data Not Available,Data Not Available,Data Not Available,122,27.08%," $23,375.00 "," $21,619.00 ",Data Not Available
Virginia Wesleyan University,23455,Virginia Beach,VA,73.99%,25,1095,1261,49.75%," $27,000.00 "," $37,287.00 ",79.55%
Visible Music College,38103,Memphis,TN,71.93%,15,760,198,11.11%," $9,500.00 "," $26,744.00 ",Data Not Available
Viterbo University,54601-8804,La Crosse,WI,79.25%,23,1131,1723,64.13%," $26,316.00 "," $44,402.00 ",85.22%
Voorhees College,29042,Denmark,SC,Data Not Available,Data Not Available,Data Not Available,368,41.18%," $27,965.00 "," $26,081.00 ",37.39%
Wabash College,47933-0352,Crawfordsville,IN,63.21%,26,1226,868,74.80%," $27,000.00 "," $47,697.00 ",79.93%
Wagner College,10301-4495,Staten Island,NY,70.43%,Data Not Available,Data Not Available,1635,72.56%," $25,000.00 "," $54,531.00 ",92.36%
Wake Forest University,27106,Winston-Salem,NC,31.98%,Data Not Available,Data Not Available,5438,88.66%," $21,226.00 "," $60,081.00 ",88.01%
Walla Walla Community College,99362-9267,Walla Walla,WA,Data Not Available,Data Not Available,Data Not Available,1909,41.88%," $12,877.00 "," $33,376.00 ",50.52%
Walla Walla University,99324-1198,College Place,WA,Data Not Available,Data Not Available,Data Not Available,1454,58.52%," $26,746.00 "," $48,130.00 ",86.65%
Walsh College,48083-5066,Troy,MI,Data Not Available,Data Not Available,Data Not Available,708,Data Not Available," $15,625.00 "," $55,242.00 ",Data Not Available
Walsh University,44720-3396,North Canton,OH,76.56%,23,1126,1660,60.18%," $27,000.00 "," $44,664.00 ",80.04%
Warner Pacific University,97215,Portland,OR,100.00%,Data Not Available,Data Not Available,461,37.59%," $27,084.00 "," $41,190.00 ",77.36%
Warner Pacific University Professional and Graduate Studies,97215,Portland,OR,Data Not Available,Data Not Available,Data Not Available,281,25.00%," $27,084.00 "," $41,190.00 ",Data Not Available
Warner University,33859-8797,Lake Wales,FL,54.12%,Data Not Available,Data Not Available,815,49.44%," $24,565.00 "," $35,080.00 ",59.75%
Warren Wilson College,28778-2099,Swannanoa,NC,84.84%,25,1220,625,41.88%," $25,000.00 "," $25,402.00 ",75.17%
Wartburg College,50677-0903,Waverly,IA,71.72%,22,1114,1531,68.32%," $27,000.00 "," $43,742.00 ",89.39%
Wartburg Theological Seminary,52003-7769,Dubuque,IA,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available, Data Not Available , Data Not Available ,Data Not Available
Washburn University,66621-0001,Topeka,KS,Data Not Available,Data Not Available,Data Not Available,4202,51.20%," $17,250.00 "," $37,731.00 ",76.48%
Washington & Jefferson College,15301,Washington,PA,90.18%,Data Not Available,Data Not Available,1164,64.66%," $27,000.00 "," $50,312.00 ",81.22%
Washington Adventist University,20912,Takoma Park,MD,93.95%,Data Not Available,Data Not Available,703,42.11%," $30,250.00 "," $45,320.00 ",80.84%
Washington College,21620-1438,Chestertown,MD,80.28%,Data Not Available,Data Not Available,1084,71.50%," $27,000.00 "," $45,859.00 ",90.40%
Washington State University,99164-5910,Pullman,WA,79.95%,23,1123,25084,58.55%," $20,000.00 "," $51,093.00 ",84.64%
Washington University in St Louis,63130-4899,Saint Louis,MO,16.02%,34,1520,7366,94.36%," $17,000.00 "," $64,543.00 ",91.65%
Washington and Lee University,24450-2116,Lexington,VA,24.51%,33,1451,1820,93.42%," $19,500.00 "," $66,267.00 ",91.09%
Wayland Baptist University,79072,Plainview,TX,81.44%,20,1014,2803,24.56%," $22,000.00 "," $42,281.00 ",74.02%
Wayne State College,68787,Wayne,NE,Data Not Available,Data Not Available,Data Not Available,3021,52.94%," $20,400.00 "," $36,616.00 ",83.59%
Wayne State University,48202,Detroit,MI,69.01%,24,1112,17164,51.89%," $21,500.00 "," $40,269.00 ",42.07%
Waynesburg University,15370-1257,Waynesburg,PA,89.96%,22,1082,1244,65.26%," $27,000.00 "," $44,027.00 ",80.28%
Webb Institute,11542-1398,Glen Cove,NY,21.02%,35,1489,101,83.33%, Data Not Available , Data Not Available ,Data Not Available
Webber International University,33827-0096,Babson Park,FL,37.78%,17,951,735,39.73%," $22,750.00 "," $35,291.00 ",63.31%
Weber State University,84408-1001,Ogden,UT,Data Not Available,Data Not Available,Data Not Available,16664,35.83%," $15,500.00 "," $41,013.00 ",78.82%
Webster University,63119-3194,Saint Louis,MO,53.12%,24,1170,2535,55.14%," $22,500.00 "," $38,977.00 ",86.95%
Weill Medical College of Cornell University,10065,New York,NY,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available," $14,500.00 "," $78,779.00 ",Data Not Available
Welch College,37066-8460,Gallatin,TN,Data Not Available,Data Not Available,Data Not Available,278,72.00%," $20,000.00 "," $31,129.00 ",Data Not Available
Wellesley College,02481-8203,Wellesley,MA,20.41%,33,1446,2260,93.74%," $10,700.00 "," $58,175.00 ",92.18%
Wells College,13026-0500,Aurora,NY,64.36%,Data Not Available,Data Not Available,356,55.83%," $26,500.00 "," $34,802.00 ",79.82%
Wenatchee Valley College,98801-1799,Wenatchee,WA,Data Not Available,Data Not Available,Data Not Available,2408,34.31%," $10,240.00 "," $31,802.00 ",51.69%
Wentworth Institute of Technology,2115,Boston,MA,93.54%,26,1192,4143,69.05%," $26,000.00 "," $64,328.00 ",93.06%
Wesley Biblical Seminary,39157-1920,Ridgeland,MS,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available, Data Not Available , Data Not Available ,Data Not Available
Wesley College,19901-3875,Dover,DE,58.59%,16,933,790,32.23%," $31,000.00 "," $34,960.00 ",77.78%
Wesley Theological Seminary,20016-5690,Washington,DC,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available, Data Not Available , Data Not Available ,Data Not Available
Wesleyan College,31210-4462,Macon,GA,59.81%,22,1052,612,50.94%," $25,125.00 "," $27,524.00 ",65.22%
Wesleyan University,6459,Middletown,CT,20.90%,Data Not Available,Data Not Available,2838,90.93%," $15,500.00 "," $49,408.00 ",93.35%
West Chester University of Pennsylvania,19383,West Chester,PA,86.25%,23,1100,14437,75.42%," $23,857.00 "," $46,701.00 ",88.47%
West Liberty University,26074,West Liberty,WV,68.44%,20,1039,1868,52.99%," $24,250.00 "," $33,828.00 ",75.96%
West Los Angeles College,90230-3519,Culver City,CA,Data Not Available,Data Not Available,Data Not Available,9579,22.15%," $11,188.00 "," $30,754.00 ",Data Not Available
West Texas A & M University,79016-0001,Canyon,TX,58.25%,21,1046,7326,44.29%," $19,500.00 "," $39,811.00 ",81.12%
West Virginia School of Osteopathic Medicine,24901,Lewisburg,WV,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available, Data Not Available , Data Not Available ,Data Not Available
West Virginia State University,25112-1000,Institute,WV,88.50%,20,1008,1716,30.10%," $23,894.00 "," $29,408.00 ",67.08%
West Virginia University,26506,Morgantown,WV,83.89%,24,1152,19669,61.83%," $22,786.00 "," $41,828.00 ",81.42%
West Virginia University Institute of Technology,25801,Beckley,WV,55.12%,21,1034,1168,27.69%," $22,786.00 "," $41,828.00 ",73.97%
West Virginia University at Parkersburg,26104,Parkersburg,WV,Data Not Available,Data Not Available,Data Not Available,1760,35.19%," $15,995.00 "," $25,852.00 ",63.27%
West Virginia Wesleyan College,26201-2994,Buckhannon,WV,65.72%,21,1020,977,55.18%," $27,000.00 "," $38,956.00 ",78.94%
